,Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality,No Footprint Component Data,No Biocapacity Component Data
29,Cabo Verde,Africa,0.49,0.64,3801.45,,,,,,2.52,,,,,,0.3038,-1.9,1.46,4.06,3T,2.52,0.3038
30,Cambodia,Asia-Pacific,14.86,0.55,877.64,,,,,,1.21,,,,,,16.197400000000002,-0.11,0.7,1.11,3T,1.21,16.197400000000002
31,Cameroon,Africa,21.7,0.5,1271.21,0.54,0.1,0.21,0.19,0.08,1.17,11.935,2.17,19.964,1.736,1.085,36.672999999999995,0.52,0.68,0.69,6,,
32,Canada,North America,34.84,0.91,52145.4,1.46,0.33,1.2,5.0,0.12,8.17,108.3524,10.1036,317.7408,118.80440000000002,2.4388000000000005,557.7884000000001,7.83,4.72,0.51,5,,
33,Cayman Islands,Latin America,0.06,,,0.36,0.45,1.23,3.56,0.05,5.65,0.0,0.0012,0.0114,0.0066,0.0,0.0192,-5.33,3.26,17.91,3L,,
34,Central African Republic,Africa,4.53,0.37,495.04,0.3,0.55,0.26,0.08,0.02,1.24,1.3137,2.5821,31.619400000000002,0.0,0.1812,35.6511,6.62,0.72,0.16,6,,
35,Chad,Africa,12.45,0.39,1161.22,0.36,0.75,0.27,0.01,0.01,1.46,4.357499999999999,14.317499999999997,5.1045,0.8715,0.6225,25.273499999999995,0.57,0.84,0.72,6,,
36,Chile,Latin America,17.46,0.83,14525.8,0.61,0.33,0.99,2.04,0.25,4.36,8.206199999999999,7.857,38.2374,6.6348,2.619,63.3798,-0.73,2.52,1.2,6,,
37,China,Asia-Pacific,1408.04,0.72,5560.94,0.55,0.13,0.19,2.32,0.08,3.38,647.6984,140.804,309.7688,56.3216,168.9648,1323.5575999999999,-2.44,1.95,3.59,6,,
38,Colombia,Latin America,47.7,0.72,7305.22,0.35,0.58,0.16,0.67,0.03,1.87,10.494000000000002,53.900999999999996,99.693,3.3390000000000004,4.293,171.72000000000003,1.72,1.08,0.52,6,,
39,Comoros,Africa,0.72,0.5,860.24,0.33,0.03,0.18,0.25,0.25,1.03,0.1656,0.0072,0.0144,0.0504,0.0,0.2304,-0.7,0.59,3.17,3B,,
40,Congo,Africa,4.34,0.57,1943.69,0.22,0.09,0.38,0.47,0.1,1.29,0.5642,13.2804,31.8122,1.519,0.13019999999999998,47.349399999999996,9.63,0.74,0.12,5,,
41,"Congo, Democratic Republic of",Africa,65.7,0.42,338.63,0.15,0.01,0.51,0.07,0.01,0.82,8.541,21.024,165.56400000000002,3.285,3.285,201.699,2.25,0.47,0.27,6,,
42,Costa Rica,Latin America,4.8,0.76,8979.96,0.4,0.21,0.68,1.37,0.08,2.84,1.8239999999999998,1.44,3.024,0.576,0.48,7.343999999999999,-1.31,1.64,1.86,5,,
43,Côte d'Ivoire,Africa,19.84,,1016.83,0.51,0.06,0.22,0.26,0.14,1.27,17.4592,5.952,9.5232,0.7936,1.5872,35.3152,0.51,0.74,0.72,6,,
44,Croatia,Northern/Eastern Europe,4.31,0.82,14522.8,0.74,0.13,0.72,2.21,0.06,3.92,2.9308,0.8189,6.680499999999999,1.4223,0.25859999999999994,12.067999999999998,-1.12,2.27,1.4,6,,
45,Cuba,Latin America,11.27,0.77,5175.94,0.48,0.11,0.09,1.23,0.02,1.95,2.9302,1.0143,2.5921,1.8032,0.33809999999999996,8.565199999999999,-1.19,1.13,2.56,6,,
46,Cyprus,European Union,1.13,0.85,31454.7,0.77,0.08,0.23,2.94,0.14,4.21,0.20339999999999997,0.0,0.06779999999999999,0.06779999999999999,0.056499999999999995,0.3842,-3.87,2.43,12.35,5,,
47,Czech Republic,European Union,10.66,0.87,21676.3,0.62,0.24,0.74,3.42,0.03,5.19,10.0204,0.7462000000000001,13.9646,0.0,1.3858000000000001,26.2236,-2.73,3.0,2.11,5,,
48,Denmark,European Union,5.6,0.92,61413.6,1.18,0.47,0.77,2.6,0.24,5.51,13.328,0.055999999999999994,1.904,10.08,1.4,26.768,-0.73,3.18,1.15,5,,
49,Djibouti,Africa,0.86,0.46,1433.17,,,,,,2.19,,,,,,0.6622,-1.42,1.27,2.84,2,2.19,0.6622
50,Dominica,Latin America,0.07,0.72,7088.01,0.64,0.15,0.14,1.47,0.17,2.57,0.028000000000000004,0.0007000000000000001,0.0364,0.007000000000000001,0.0,0.07210000000000001,-1.54,1.49,2.49,5,,
51,Dominican Republic,Latin America,10.28,0.71,6085.89,0.35,0.12,0.12,0.86,0.04,1.53,2.2616,1.1308,1.6448,0.2056,0.514,5.7568,-0.97,0.88,2.74,6,,
52,Ecuador,Latin America,15.49,0.73,5192.88,0.3,0.3,0.24,1.08,0.18,2.17,4.9568,4.647,21.840899999999998,1.7039,0.9294,34.078,0.03,1.25,0.99,5,,
53,Egypt,Africa,80.72,0.69,2930.33,0.68,0.08,0.17,1.02,0.04,2.15,30.6736,0.0,0.0,1.6144,12.107999999999999,45.2032,-1.59,1.24,3.86,5,,
54,El Salvador,Latin America,6.3,0.66,3696.33,0.44,0.21,0.4,0.84,0.14,2.07,1.701,0.945,0.252,0.693,0.315,3.843,-1.46,1.2,3.37,5,,
55,Equatorial Guinea,Africa,0.74,0.58,24064.0,0.27,0.02,0.26,3.17,0.22,3.97,0.09620000000000001,0.111,2.294,0.7474,0.0148,3.2560000000000002,0.44,2.29,0.9,3L,,
56,Eritrea,Africa,6.13,0.39,439.73,0.1,0.18,0.06,0.03,0.01,0.42,0.42910000000000004,1.1034,0.5517,5.7009,0.1226,7.969,0.88,0.24,0.32,5,,
57,Estonia,European Union,1.29,0.85,17304.4,,,,,,6.86,,,,,,13.5837,3.67,3.96,0.65,3T,6.86,13.5837
58,Ethiopia,Africa,91.73,0.43,379.38,0.31,0.12,0.46,0.07,0.0,1.02,28.436300000000003,11.0076,4.5865,3.6692,5.5038,53.2034,-0.44,0.59,1.75,6,,
59,Fiji,Asia-Pacific,0.88,0.72,4201.37,0.55,0.2,0.42,1.06,0.62,2.9,0.24640000000000004,0.07919999999999999,1.1440000000000001,0.5720000000000001,0.0352,2.0856,-0.52,1.67,1.22,5,,
60,Finland,European Union,5.41,0.88,50960.2,,,,,,5.87,,,,,,72.71039999999999,7.57,3.39,0.44,3T,5.87,72.71039999999999
61,France,European Union,63.98,0.89,45430.3,1.23,0.27,0.53,2.71,0.19,5.14,106.8466,10.2368,61.42079999999999,7.0378,13.435799999999999,198.97779999999997,-2.04,2.97,1.66,6,,
62,French Guiana,Latin America,0.24,,,0.07,0.06,0.46,1.58,0.17,2.34,0.016800000000000002,0.0144,22.8384,3.8568,0.0,26.723999999999997,109.01,1.35,0.02,3L,,
63,French Polynesia,Asia-Pacific,0.27,,,0.75,0.65,0.12,2.39,0.82,4.73,0.051300000000000005,0.0081,0.1971,0.1134,0.0,0.36990000000000006,-3.36,2.73,3.45,5,,
64,Gabon,Africa,1.63,0.67,11989.0,0.53,0.13,0.79,0.43,0.11,2.02,0.4075,5.867999999999999,31.784999999999997,4.7759,0.04889999999999999,42.885299999999994,24.29,1.16,0.08,3L,,
65,Gambia,Africa,1.79,0.44,505.76,0.46,0.05,0.2,0.21,0.08,1.03,0.4117,0.0716,0.35800000000000004,0.5728,0.0537,1.4678,-0.21,0.6,1.25,5,,
66,Georgia,Middle East/Central Asia,4.36,0.75,3710.7,0.39,0.2,0.1,0.83,0.02,1.58,0.5232,1.5696,2.6596,0.21800000000000003,0.17440000000000003,5.1012,-0.41,0.91,1.35,3B,,
67,Germany,European Union,82.8,0.91,46822.4,1.1,0.14,0.48,3.28,0.05,5.3,101.844,4.968,56.304,5.796,19.872,187.956,-3.02,3.06,2.33,5,,
68,Ghana,Africa,25.37,0.57,1627.9,0.56,0.07,0.65,0.43,0.19,1.97,16.9979,6.5962000000000005,7.3572999999999995,1.5222,1.7759000000000003,34.249500000000005,-0.62,1.14,1.46,6,,
69,Greece,European Union,11.12,0.86,25987.4,1.07,0.35,0.24,2.58,0.08,4.38,11.2312,1.5568,2.5576,1.8904,0.6671999999999999,17.9032,-2.77,2.53,2.73,5,,
70,Grenada,Latin America,0.1,0.74,7410.48,,,,,,2.98,,,,,,0.196,-1.01,1.72,1.52,3L,2.98,0.196
71,Guadeloupe,Latin America,0.46,,,0.11,0.03,0.16,2.61,0.31,3.23,0.0506,0.0138,0.059800000000000006,0.0828,0.0,0.20700000000000002,-2.77,1.86,7.14,5,,
72,Guatemala,Latin America,15.08,0.62,3233.8,0.37,0.16,0.58,0.7,0.01,1.89,5.7304,2.262,5.1272,0.754,1.0556,14.9292,-0.9,1.09,1.91,5,,
73,Guinea,Africa,11.45,0.41,459.09,0.39,0.32,0.45,0.16,0.05,1.41,4.007499999999999,8.587499999999999,7.327999999999999,3.4349999999999996,0.45799999999999996,23.9305,0.68,0.81,0.67,5,,
74,Guinea-Bissau,Africa,1.66,0.42,681.25,0.35,0.36,0.67,0.09,0.01,1.53,0.7968,0.5975999999999999,0.5644,2.9714,0.0996,5.0298,1.49,0.89,0.51,6,,
75,Guyana,Latin America,0.8,0.63,3269.46,0.7,0.22,0.77,1.25,0.06,3.07,0.5519999999999999,1.2080000000000002,47.352000000000004,4.096,0.048,53.264,63.51,1.77,0.05,5,,
76,Haiti,Latin America,10.17,0.48,749.13,0.27,0.04,0.1,0.15,0.01,0.61,1.8306,0.3051,0.1017,0.1017,0.3051,2.7459000000000002,-0.34,0.35,2.28,6,,
77,Honduras,Latin America,7.94,0.61,2269.51,0.28,0.25,0.5,0.6,0.0,1.68,2.6202,2.0644,7.0666,1.8262000000000003,0.4764,14.0538,0.09,0.97,0.95,3B,,
78,Hungary,European Union,9.98,0.82,13964.2,0.42,0.08,0.36,1.9,0.02,2.92,12.7744,0.5988,6.8862,0.0,1.2974,21.6566,-0.75,1.69,1.34,5,,
79,India,Asia-Pacific,1236.69,0.6,1513.85,0.34,0.01,0.14,0.61,0.02,1.16,432.8415,0.0,24.733800000000002,37.1007,61.834500000000006,556.5105000000001,-0.71,0.67,2.55,6,,
80,Indonesia,Asia-Pacific,246.86,0.68,3688.53,0.44,0.03,0.2,0.64,0.21,1.58,113.55560000000001,14.8116,74.058,93.80680000000001,14.8116,311.0436,-0.32,0.91,1.25,6,,
81,"Iran, Islamic Republic of",Middle East/Central Asia,76.42,0.76,7511.1,0.69,0.09,0.07,1.72,0.12,2.79,36.681599999999996,5.349400000000001,4.5851999999999995,14.5198,6.8778,68.778,-1.89,1.61,3.1,3B,,
82,Iraq,Middle East/Central Asia,32.78,0.65,5848.54,0.43,0.03,0.01,1.36,0.01,1.88,5.9004,0.6556000000000001,1.6390000000000002,0.0,1.3112000000000001,9.5062,-1.59,1.09,6.58,3B,,
83,Ireland,European Union,4.58,0.91,52853.6,1.08,0.49,0.46,3.22,0.18,5.57,3.8472,3.4808,2.29,6.8242,0.5954,17.0834,-1.83,3.21,1.49,5,,
84,Israel,Middle East/Central Asia,7.64,0.89,33718.9,0.89,0.22,0.36,4.59,0.07,6.22,1.6807999999999998,0.0764,0.2292,0.1528,0.6112,2.674,-5.87,3.59,17.59,6,,
85,Italy,European Union,60.92,0.87,38412.0,0.91,0.32,0.42,2.77,0.12,4.61,35.3336,2.4368000000000003,20.1036,3.6552,3.6552,65.79360000000001,-3.53,2.66,4.28,6,,
86,Jamaica,Latin America,2.77,0.72,5226.3,0.41,0.09,0.18,1.09,0.07,1.89,0.44320000000000004,0.0,0.277,0.3047,0.1385,1.1911,-1.46,1.09,4.39,3B,,
87,Japan,Asia-Pacific,127.25,0.89,46201.6,0.53,0.1,0.27,3.69,0.33,5.02,20.36,0.0,44.537499999999994,12.725000000000001,12.725000000000001,91.61999999999999,-4.3,2.9,7.01,6,,
88,Jordan,Middle East/Central Asia,7.01,0.75,4615.17,0.54,0.18,0.17,1.09,0.03,2.1,0.6308999999999999,0.1402,0.2103,0.0,0.4907,1.4721,-1.89,1.21,9.91,5,,
89,Kazakhstan,Middle East/Central Asia,16.27,0.78,11278.0,0.58,0.19,0.12,4.59,0.03,5.55,18.5478,31.4011,3.9048,0.9762,0.4881,55.4807,-2.14,3.2,1.63,3L,,
90,Kenya,Africa,43.18,0.54,1062.11,0.25,0.23,0.27,0.2,0.05,1.03,8.636000000000001,10.363199999999999,0.8636,0.8636,1.7272,22.0218,-0.52,0.6,2.02,5,,
91,"Korea, Democratic People's Republic of",Asia-Pacific,24.76,,,0.28,0.0,0.14,0.68,0.02,1.17,5.9424,0.0,5.1996,2.2284,1.4856,14.856,-0.57,0.67,1.94,6,,
92,"Korea, Republic of",Asia-Pacific,49.0,0.89,24155.8,0.71,0.12,0.21,4.17,0.41,5.69,6.37,0.0,4.41,19.6,2.94,33.32,-5.01,3.29,8.36,5,,
93,Kuwait,Middle East/Central Asia,3.25,0.82,41830.5,0.55,0.24,0.21,6.89,0.09,8.13,0.065,0.0325,0.0,1.2025,0.4875,1.7875,-7.58,4.7,14.68,3L,,
94,Kyrgyzstan,Middle East/Central Asia,5.47,0.65,1116.37,0.59,0.18,0.09,0.95,0.01,1.91,2.5708999999999995,3.4461,0.3282,0.2735,0.4376,7.111,-0.61,1.1,1.47,3B,,
95,Lao People's Democratic Republic,Asia-Pacific,6.65,0.56,1236.24,0.57,0.08,0.36,0.09,0.01,1.22,3.7904999999999998,0.8645,5.187,0.1995,0.7315,10.773000000000001,0.4,0.7,0.75,6,,
96,Latvia,European Union,2.06,0.81,13732.0,2.28,0.09,2.02,1.66,0.11,6.29,6.386,0.6386000000000001,8.4048,3.9758,0.26780000000000004,19.673000000000002,3.26,3.63,0.66,5,,
97,Lebanon,Middle East/Central Asia,4.65,0.76,9143.86,0.67,0.3,0.25,2.52,0.05,3.84,0.7440000000000001,0.18600000000000003,0.279,0.04650000000000001,0.279,1.5345000000000002,-3.51,2.22,11.7,6,,
98,Lesotho,Africa,2.05,0.48,1338.42,0.22,0.49,0.42,0.51,0.0,1.66,0.08199999999999999,1.517,0.0,0.0,0.020499999999999997,1.599,-0.87,0.96,2.11,3B,,
99,Liberia,Africa,4.19,0.42,397.38,0.23,0.03,0.75,0.14,0.03,1.21,0.6285000000000001,2.5559000000000003,6.075500000000001,1.3408000000000002,0.1257,10.7683,1.35,0.7,0.47,3B,,
100,Libyan Arab Jamahiriya,Africa,6.16,0.74,5859.43,0.79,0.32,0.14,2.33,0.1,3.69,1.0472000000000001,1.4168,0.1232,1.54,0.1232,4.311999999999999,-3.0,2.13,5.3,3B,,
101,Lithuania,European Union,3.03,0.83,14373.7,1.89,0.21,1.28,2.15,0.16,5.83,9.1809,0.3333,6.332699999999999,0.9089999999999999,0.45449999999999996,17.1801,-0.17,3.37,1.03,5,,
102,Luxembourg,European Union,0.52,0.89,114665.0,1.1,0.76,1.03,12.65,0.13,15.82,0.2964,0.041600000000000005,0.46280000000000004,0.0,0.0728,0.8736,-14.14,9.14,9.44,5,,
103,Macedonia TFYR,Northern/Eastern Europe,2.11,0.74,5174.89,0.62,0.21,0.31,2.06,0.03,3.26,0.8018,0.3587,1.9412,0.0422,0.0422,3.1860999999999997,-1.75,1.88,2.16,6,,
104,Madagascar,Africa,22.29,0.51,456.33,0.27,0.34,0.24,0.07,0.02,0.99,5.7954,28.977,17.832,4.680899999999999,1.3374,58.622699999999995,1.64,0.57,0.38,6,,
105,Malawi,Africa,15.91,0.43,493.84,0.43,0.05,0.2,0.07,0.01,0.81,7.1595,1.1137000000000001,0.3182,0.9546,0.7955000000000001,10.5006,-0.15,0.47,1.22,5,,
106,Malaysia,Asia-Pacific,29.24,0.77,10252.6,0.67,0.12,0.38,2.1,0.36,3.71,21.93,0.2924,21.3452,24.5616,2.0468,70.4684,-1.3,2.14,1.54,3B,,
107,Mali,Africa,14.85,0.41,741.22,0.52,0.66,0.17,0.1,0.03,1.53,7.5735,10.5435,3.7125,0.7425,0.8909999999999999,23.463,0.05,0.88,0.97,6,,
108,Martinique,Latin America,0.4,,,0.13,0.02,0.12,1.73,0.04,2.08,0.052000000000000005,0.008,0.04000000000000001,0.036,0.016,0.15600000000000003,-1.7,1.2,5.41,3B,,
109,Mauritania,Africa,3.8,0.5,1524.39,0.39,1.2,0.21,0.55,0.15,2.54,0.38,11.058,0.19,5.244,0.152,17.024,1.93,1.47,0.57,3B,,
110,Mauritius,Africa,1.24,0.77,8811.15,0.52,0.22,0.18,1.99,0.55,3.46,0.1736,0.0,0.0124,0.6944,0.0,0.8804,-2.75,2.0,4.89,5,,
111,Mexico,Latin America,120.85,0.75,10123.9,0.55,0.24,0.25,1.74,0.06,2.89,44.714499999999994,29.003999999999998,56.799499999999995,16.919,6.0425,153.4795,-1.62,1.67,2.27,5,,
112,Moldova,Northern/Eastern Europe,3.51,0.68,1971.03,0.43,0.08,0.15,1.03,0.06,1.78,2.0709,0.2457,0.351,0.0351,0.10529999999999999,2.808,-0.98,1.03,2.23,5,,
113,Mongolia,Asia-Pacific,2.8,0.71,3736.07,0.29,3.47,0.17,2.09,0.0,6.08,0.588,23.044,19.684,0.392,0.13999999999999999,43.848,9.58,3.51,0.39,3B,,
114,Montenegro,Northern/Eastern Europe,0.62,0.8,7251.6,0.64,0.33,0.62,2.13,0.05,3.78,0.0868,0.1364,1.6305999999999998,0.1488,0.0062,2.0088,-0.54,2.19,1.17,5,,
115,Montserrat,Latin America,0.0,,,,,,,,7.78,,,,,,0.0,-6.42,4.49,5.71,2,7.78,0.0
116,Morocco,Africa,32.52,0.62,3149.43,0.6,0.17,0.14,0.67,0.06,1.68,11.056800000000003,5.528400000000001,3.2520000000000007,2.2764000000000006,0.9756,23.0892,-0.96,0.97,2.35,5,,
117,Mozambique,Africa,25.2,0.41,538.82,0.31,0.03,0.29,0.17,0.03,0.87,7.056,24.192,15.372,4.284,1.26,51.912,1.19,0.5,0.42,5,,
118,Myanmar,Asia-Pacific,52.8,0.53,1117.58,0.8,0.01,0.32,0.09,0.1,1.43,46.464,0.0,29.568,14.784,5.808,97.152,0.41,0.83,0.78,6,,
119,Namibia,Africa,2.26,0.62,5880.8,0.33,0.23,0.17,1.02,0.72,2.48,0.3164,3.6159999999999997,0.8135999999999999,10.757599999999998,0.0452,15.548799999999998,4.4,1.43,0.36,3L,,
120,Nauru,Asia-Pacific,0.01,,,,,,,,2.94,,,,,,0.0019,-2.76,1.7,15.83,2,2.94,0.0019
121,Nepal,Asia-Pacific,27.47,0.54,700.07,0.43,0.07,0.21,0.16,0.0,0.98,10.1639,1.3735,1.6481999999999999,0.2747,3.0217,16.2073,-0.38,0.56,1.65,6,,
122,Netherlands,European Union,16.71,0.92,53589.9,0.76,0.58,0.38,3.23,0.16,5.28,7.519500000000001,0.6684,1.3368,7.185300000000001,2.8407000000000004,19.5507,-4.11,3.05,4.53,6,,
123,New Caledonia,Asia-Pacific,0.25,,,0.68,0.62,0.18,1.78,0.32,3.58,0.0175,0.0775,0.485,1.3375,0.0,1.9175,4.09,2.07,0.47,3L,,
124,New Zealand,Asia-Pacific,4.46,0.91,37488.3,0.63,0.23,1.08,2.84,0.7,5.6,2.2746,12.042,26.537,3.8356,0.5798,45.2244,4.54,3.23,0.55,3B,,
125,Nicaragua,Latin America,5.99,0.63,1626.85,0.34,0.12,0.42,0.45,0.03,1.39,2.3960000000000004,3.4741999999999997,4.4326,2.9351000000000003,0.29950000000000004,13.477500000000001,0.87,0.8,0.62,5,,
126,Niger,Africa,17.16,0.34,410.91,0.67,0.48,0.26,0.1,0.02,1.56,11.154,8.7516,0.8580000000000001,0.0,0.5148,21.2784,-0.32,0.9,1.26,5,,
127,Nigeria,Africa,168.83,0.5,2612.12,0.53,0.1,0.19,0.21,0.08,1.16,84.415,20.259600000000002,3.3766000000000003,3.3766000000000003,8.441500000000001,118.181,-0.47,0.67,1.67,5,,
128,Norway,Northern/Eastern Europe,4.99,0.94,100172.0,,,,,,4.98,,,,,,40.8182,3.19,2.88,0.61,4,4.98,40.8182
129,Oman,Middle East/Central Asia,3.31,0.79,22622.8,0.57,0.4,0.15,5.8,0.4,7.52,0.23170000000000002,0.13240000000000002,0.0,5.3291,0.6289,6.3552,-5.6,4.34,3.93,3B,,
130,Pakistan,Asia-Pacific,179.16,0.53,1218.6,0.27,0.01,0.08,0.38,0.02,0.79,46.5816,0.0,1.7916,7.1664,5.3748,62.705999999999996,-0.44,0.46,2.28,6,,
131,Panama,Latin America,3.8,0.77,8410.77,0.36,0.4,0.19,1.44,0.37,2.79,0.532,1.634,6.612,2.28,0.076,11.171999999999999,0.15,1.61,0.95,3B,,
132,Papua New Guinea,Asia-Pacific,7.17,0.5,1871.21,0.3,0.05,0.36,0.35,0.73,1.91,2.5812,0.2868,19.072200000000002,5.2341,0.9321,28.1064,2.01,1.1,0.49,3B,,
133,Paraguay,Latin America,6.69,0.67,3557.31,1.11,1.1,0.83,0.97,0.01,4.16,16.7919,15.2532,37.0626,0.3345,0.9366000000000001,70.3788,6.36,2.4,0.4,3B,,
134,Peru,Latin America,29.99,0.73,5684.73,0.5,0.51,0.19,0.67,0.33,2.28,10.796399999999998,15.2949,84.5718,5.998,2.0993,119.0603,1.69,1.32,0.57,6,,
135,Philippines,Asia-Pacific,96.71,0.66,2379.44,0.36,0.03,0.09,0.34,0.23,1.1,30.9472,1.9342,8.703899999999999,6.7697,4.8355,52.2234,-0.56,0.64,2.03,5,,
136,Poland,European Union,38.21,0.84,13769.5,0.84,0.04,0.78,2.64,0.05,4.44,40.1205,2.6747000000000005,29.4217,4.2031,3.4389,79.47680000000001,-2.36,2.57,2.14,6,,
